"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C6,C11,C1";"C_0603_1608Metric";3;"0.1uF";;;
2;"U2";"21-0036K";1;"MAX5214GUAT";;;
3;"REF**,REF**,REF**,REF**";"MountingHole_2.2mm_M2";4;"MountingHole_2.2mm_M2";;;
4;"U5";"SOT95P280X100-6N";1;"TPS22810-Q1";;;
5;"U1";"21-0051H";1;"MAX6106EUR-T";;;
6;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x04";;;
7;"J4";"DROK_Voltage_Converter";1;"DROK_Voltage_Converter";;;
8;"R11";"R_0603_1608Metric";1;"1.5k";;;
9;"R10,R9";"R_0805_2012Metric";2;"500";;;
10;"R8";"R_0603_1608Metric";1;"49.9";;;
11;"C9,C8,C7,C5";"C_0603_1608Metric";4;"2.2uF";;;
12;"U6,U4";"SOT95P280X100-5N";2;"ADP7118AUJZ-3.3-R7";;;
13;"J2";"POGO_ISP";1;"Conn_01x05";;;
14;"IC1";"QFN50P400X400X60-28N";1;"STM32F042G6U6";;;
15;"J3";"USB_Micro_B_Female_10118194-0001LF";1;"10118194-0001LF";;;
