Ref     Val                 Package                   PosX       PosY       Rot  Side
C1        0.1uF               C_0402_1005Metric     135.4500   -77.4500    0.0000  top
C2        1uF                 C_0402_1005Metric     137.9500   -71.3500    0.0000  top
C3        0.1uF               C_0402_1005Metric     126.6500   -71.3000  180.0000  top
C4        0.1uF               C_0402_1005Metric     137.9625   -69.9500    0.0000  top
C5        2.2uF               C_0603_1608Metric     129.3750   -77.6000    0.0000  top
C6        0.1uF               C_0402_1005Metric     136.7500   -84.8500  270.0000  top
C7        2.2uF               C_0603_1608Metric     140.9750   -55.3500    0.0000  top
C8        2.2uF               C_0603_1608Metric     129.3250   -84.3000    0.0000  top
C9        2.2uF               C_0603_1608Metric     141.0750   -61.9000    0.0000  top
C10       47pF                C_0402_1005Metric     134.5000   -63.6500    0.0000  top
C11       0.1uF               C_0402_1005Metric     131.3000   -88.4000  180.0000  top
C12       47pF                C_0402_1005Metric     131.0375   -63.6500  180.0000  top
D1        LED                 LED_0603_1608Metric   139.1000   -74.1750    0.0000  top
P1        ZX62M-B-5P(01)      HRS_ZX62M-B-5P(01)    132.4500   -56.6000  180.0000  top
R1        1.5k                R_0402_1005Metric     127.0750   -69.0625  270.0000  top
R2        0                   R_0402_1005Metric     127.1500   -67.1000   90.0000  top
R3        330                 R_0402_1005Metric     139.6750   -72.7250    0.0000  top
R4        1.5k                R_0402_1005Metric     129.0000   -65.9000  180.0000  top
R5        22                  R_0402_1005Metric     132.0000   -65.5500  270.0000  top
R6        22                  R_0402_1005Metric     133.5500   -65.5500  270.0000  top
R7        0                   R_0402_1005Metric     137.8000   -88.1875  270.0000  top
U1        MAX6106EUR-T        21-0051H              138.0500   -80.9500    0.0000  top
U2        MAX5214GUAT         21-0036K              133.8500   -81.8000  270.0000  top
U3        STM32F042F6P6       SOP65P640X120-20N     132.3000   -71.6500    0.0000  top
U4        ADP7118AUJZ-3.3-R7  SOT95P280X100-5N      129.4000   -81.0500  270.0000  top
U5        TPS22918TDBVTQ1     SOT95P280X100-6N      140.9000   -88.6000  180.0000  top
U6        ADP7118AUJZ-3.3-R7  SOT95P280X100-5N      141.0500   -58.6000  270.0000  top
