Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 1) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,,,,,,,,,,
1,53047-0510,Molex,53047-0510,https://octopart.com/53047-0510-molex-276775,J2,,,1,WM1734-ND,53047-0510,53047-0510,Tray,,,0.49,0.4758,0.5,13146,13971,21818,1,1,,https://octopart.com/click/track?ak=68b25f31&sig=0e6310b&sid=459&ppid=276775&vpid=50127635&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0b14ad7&sid=1106&ppid=276775&vpid=473321215&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=082889a&sid=2401&ppid=276775&vpid=37668791&ct=offers,Sager Electronics,0530470510,Tray,0.1696,0.1696,0.1696,12768,1,https://octopart.com/click/track?ak=68b25f31&sig=09ba142&sid=15568&ppid=276775&vpid=65643664&ct=offers,
1,15134-0501,Molex,15134-0501,https://octopart.com/15134-0501-molex-75519976,,,,1,WM15261-ND,15134-0501,15134-0501,Bag,,,3.47,3.433,2.74,1067,1350,1012,1,1,,https://octopart.com/click/track?ak=68b25f31&sig=0b60e9c&sid=459&ppid=75519976&vpid=272349597&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0f2ecb4&sid=1106&ppid=75519976&vpid=473316950&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=001bf26&sid=2401&ppid=75519976&vpid=272397644&ct=offers,Interstate Connecting Components,15134-0501,,2.27685,2.27685,2.27685,397,,https://octopart.com/click/track?ak=68b25f31&sig=07e9f46&sid=13031&ppid=75519976&vpid=456441448&ct=offers,
1,MAX5214GUA+,Maxim Integrated,MAX5214GUA+,https://octopart.com/max5214gua%2B-maxim+integrated-43984875,U2,,,1,MAX5214GUA+-ND,,MAX5214GUA+,Tube,,,2.73,,2.73,1546,,505,1,,,https://octopart.com/click/track?ak=68b25f31&sig=0d82985&sid=459&ppid=43984875&vpid=116173814&ct=offers,,https://octopart.com/click/track?ak=68b25f31&sig=06f16d7&sid=2401&ppid=43984875&vpid=118165148&ct=offers,Farnell,2514741,,2.6546358569629107,2.6546358569629107,2.6546358569629107,148,1,https://octopart.com/click/track?ak=68b25f31&sig=07e3377&sid=819&ppid=43984875&vpid=247811738&ct=offers,
1,MAX6106EUR-T,Maxim Integrated,MAX6106EUR+T,https://octopart.com/max6106eur%2Bt-maxim+integrated-39994682,U1,,,1,MAX6106EUR+TCT-ND,,MAX6106EUR+T,Cut Tape,,,1.14,,1.14,4350,,5398,1,,,https://octopart.com/click/track?ak=68b25f31&sig=03aa019&sid=459&ppid=39994682&vpid=115649999&ct=offers,,https://octopart.com/click/track?ak=68b25f31&sig=0a807f5&sid=2401&ppid=39994682&vpid=115533496&ct=offers,Farnell,2511342,Cut Tape,1.0193801690737576,1.0193801690737576,1.0193801690737576,2497,1,https://octopart.com/click/track?ak=68b25f31&sig=03fc769&sid=819&ppid=39994682&vpid=247812185&ct=offers,
1,ZX62M-B-5P(30),Hirose,ZX62M-B-5P(30),https://octopart.com/zx62m-b-5p%2830%29-hirose-71507691,P1,,,1,H125273CT-ND,ZX62M-B-5P(30),ZX62M-B-5P(30),Cut Tape,Cut Tape,,0.8,0.7268,0.73,12302,0,7828,1,1,,https://octopart.com/click/track?ak=68b25f31&sig=010c3d1&sid=459&ppid=71507691&vpid=257238781&ct=offers,https://octopart.com/click/track?c=1&ak=68b25f31&sig=0a35e30&sid=1106&ppid=71507691&vpid=485574711&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0495048&sid=2401&ppid=71507691&vpid=262561530&ct=offers,Farnell,2554982,Tape & Reel,0.6291486981002098,0.6291486981002098,0.6291486981002098,1415,1,https://octopart.com/click/track?ak=68b25f31&sig=09652e0&sid=819&ppid=71507691&vpid=262017559&ct=offers,
1,STM32F042F6P6,STMicroelectronics,STM32F042F6P6,https://octopart.com/stm32f042f6p6-stmicroelectronics-34084830,U3,,,1,497-17344-ND,STM32F042F6P6,STM32F042F6P6,Tube,,,2.25,2.2138,2.25,2586,0,12928,1,1,,https://octopart.com/click/track?ak=68b25f31&sig=0336943&sid=459&ppid=34084830&vpid=438816131&ct=offers,https://octopart.com/click/track?c=1&ak=68b25f31&sig=03c996c&sid=1106&ppid=34084830&vpid=473423049&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0596617&sid=2401&ppid=34084830&vpid=183946111&ct=offers,LCSC,C81000,,1.5435,1.5435,1.5435,1689,1,https://octopart.com/click/track?ak=68b25f31&sig=0f9f371&sid=27971&ppid=34084830&vpid=445984446&ct=offers,
2,ADP7118AUJZ-3.3-R7,Analog Devices,ADP7118AUJZ-3.3-R7,https://octopart.com/adp7118aujz-3.3-r7-analog+devices-38928082,"U6,U4",,,2,ADP7118AUJZ-3.3-R7CT-ND,ADP7118AUJZ-3.3-R7,ADP7118AUJZ-3.3-R7,Cut Tape,Cut Tape,,2.34,1.6019,,2534,2200,3090,1,1,10000,https://octopart.com/click/track?ak=68b25f31&sig=0d1c5f4&sid=459&ppid=38928082&vpid=468877787&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0b1487a&sid=1106&ppid=38928082&vpid=474082239&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=07fc157&sid=2401&ppid=38928082&vpid=452718989&ct=offers,"Arrow Electronics, Inc.",ADP7118AUJZ-3.3-R7,Cut Tape,1.6019,3.2038,3.2038,2200,1,https://octopart.com/click/track?ak=68b25f31&sig=0b1487a&sid=1106&ppid=38928082&vpid=474082239&ct=offers,
1,TPS22918TDBVTQ1,Texas Instruments,TPS22918TDBVTQ1,https://octopart.com/tps22918tdbvtq1-texas+instruments-75117723,U5,,,1,296-44613-1-ND,TPS22918TDBVTQ1,TPS22918TDBVTQ1,Cut Tape,Cut Tape,,0.63,0.5362,0.61,4400,2,9417,1,1,,https://octopart.com/click/track?ak=68b25f31&sig=05d13c1&sid=459&ppid=75117723&vpid=268619898&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0051ebe&sid=1106&ppid=75117723&vpid=474632054&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0361067&sid=2401&ppid=75117723&vpid=268899636&ct=offers,"Arrow Electronics, Inc.",TPS22918TDBVTQ1,Cut Tape,0.5362,0.5362,0.5362,2,1,https://octopart.com/click/track?ak=68b25f31&sig=0051ebe&sid=1106&ppid=75117723&vpid=474632054&ct=offers,
2,C0402C470J5GAC,KEMET,C0402C470J5GAC,https://octopart.com/c0402c470j5gac-kemet-2464765,"C12,C10",,,2,,C0402C470J5GAC,C0402C470J5GAC,,,,,0.0133,,,5715,0,,1,10000,,https://octopart.com/click/track?ak=68b25f31&sig=0459d8d&sid=1106&ppid=2464765&vpid=482411399&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=062c9c2&sid=2401&ppid=2464765&vpid=58318516&ct=offers,"Arrow Electronics, Inc.",C0402C470J5GAC,,0.0133,0.0266,0.0266,5715,1,https://octopart.com/click/track?ak=68b25f31&sig=0459d8d&sid=1106&ppid=2464765&vpid=482411399&ct=offers,
